ἀγορεύω	AAI.3S	ἀγόρευσε
ἀγορεύω	AAI.3S	ἀγόρευσεν
ἀγορεύω	AAN	ἀγορεῦσαι
ἀγορεύω	FAI.1S	ἀγορεύσω
ἀγορεύω	IAI.2S	ἀγόρευες
ἀγορεύω	IAI.3P	ἀγόρευον
ἀγορεύω	IAI.3S	ἀγόρευε
ἀγορεύω	IAI.3S	ἀγόρευεν
ἀγορεύω	PAD.2S	ἀγόρευε
ἀγορεύω	PAI.1S	ἀγορεύω
ἀγορεύω	PAI.2S	ἀγορεύεις
ἀγορεύω	PAI.3S	ἀγορεύει
ἀγορεύω	PAN	ἀγορεύειν
ἀγορεύω	PAN	ἀγορευέμεν
ἀγορεύω	PAN	ἀγορευέμεναι
ἀγορεύω	PAO.2S	ἀγορεύοις
ἀγορεύω	PAO.3S	ἀγορεύοι
ἀγορεύω	PAP.GSM	ἀγορεύοντος
ἀγορεύω	PAP.NPM	ἀγορεύοντες
ἀγορεύω	PAP.NSM	ἀγορεύων
ἀγορεύω	PAS.1S	ἀγορεύω
ἀγρέω	PAD.2S	ἄγρει
ἀγρώσσω	PAP.NSM	ἀγρώσσων
ἀγυρτάζω	PAN	ἀγυρτάζειν
ἄγχω	IAI.3S	ἄγχε
ἄγω	AAD.2P	ἄξετε
ἄγω	AAI.1S	ἄγαγον
ἄγω	AAI.1S	ἤγαγον
ἄγω	AAI.2S	ἤγαγες
ἄγω	AAI.3P	ἄγαγον
ἄγω	AAI.3P	ἤγαγον
ἄγω	AAI.3S	ἄγαγε
ἄγω	AAI.3S	ἄγαγεν
ἄγω	AAI.3S	ἤγαγε
ἄγω	AAI.3S	ἤγαγεν
ἄγω	AAN	ἀξέμεναι
ἄγω	AAO.3S	ἀγάγοι
ἄγω	AAP.NPM	ἀγαγόντες
ἄγω	AAP.NSF	ἀγαγοῦσα
ἄγω	AAP.NSM	ἀγαγών
ἄγω	AAS.1P	ἀγάγωμεν
ἄγω	AAS.1S	ἀγάγω
ἄγω	AAS.1S	ἀγάγωμι
ἄγω	AAS.3S	ἀγάγῃ
ἄγω	AAS.3S	ἀγάγῃσιν
ἄγω	AMI.1S	ἠγαγόμην
ἄγω	AMI.3P	ἄξοντο
ἄγω	AMI.3S	ἠγάγετο
ἄγω	AMN	ἀγαγέσθαι
ἄγω	AMS.3S	ἀγάγηται
ἄγω	FAI.1P	ἄξομεν
ἄγω	FAI.1S	ἄξω
ἄγω	FAI.2S	ἄξεις
ἄγω	FAI.3S	ἄξει
ἄγω	FAN	ἄξειν
ἄγω	FAN	ἀξέμεν
ἄγω	FAN	ἀξέμεναι
ἄγω	FAP.ASM	ἄξοντα
ἄγω	FMI.1S	ἄξομαι
ἄγω	FMN	ἄξεσθαι
ἄγω	IAI.1P	ἤγομεν
ἄγω	IAI.1S	ἄγον
ἄγω	IAI.1S	ἦγον
ἄγω	IAI.3D	ἀγέτην
ἄγω	IAI.3P	ἄγον
ἄγω	IAI.3P	ἦγον
ἄγω	IAI.3S	ἄγε
ἄγω	IAI.3S	ἄγεν
ἄγω	IAI.3S	ἦγε
ἄγω	IAI.3S	ἦγεν
ἄγω	IMI.1S	ἀγόμην
ἄγω	IMI.3S	ἤγετο
ἄγω	PAD.2P	ἄγετε
ἄγω	PAD.2S	ἄγε
ἄγω	PAD.3S	ἀγέτω
ἄγω	PAI.1S	ἄγω
ἄγω	PAI.2S	ἄγεις
ἄγω	PAI.3P	ἄγουσι
ἄγω	PAI.3P	ἄγουσιν
ἄγω	PAI.3S	ἄγει
ἄγω	PAN	ἄγειν
ἄγω	PAN	ἀγέμεν
ἄγω	PAO.1S	ἄγοιμι
ἄγω	PAO.3P	ἄγοιεν
ἄγω	PAO.3S	ἄγοι
ἄγω	PAP.ASM	ἄγοντα
ἄγω	PAP.DSM	ἄγοντι
ἄγω	PAP.NDM	ἄγοντε
ἄγω	PAP.NPF	ἄγουσαι
ἄγω	PAP.NPM	ἄγοντες
ἄγω	PAP.NSM	ἄγων
ἄγω	PAS.1P	ἄγωμεν
ἄγω	PAS.1S	ἄγω
ἄγω	PAS.3P	ἄγωσι
ἄγω	PAS.3S	ἄγῃ
ἄγω	PAS.3S	ἄγησι
ἄγω	PAS.3S	ἄγῃσι
ἄγω	PMD.2P	ἄξεσθε
ἄγω	PMD.3S	ἀγέσθω
ἄγω	PMI.3S	ἄγεται
ἄγω	PMN	ἄγεσθαι
ἄγω	PMO.1P	ἀγοίμεθα
ἄγω	PMO.3S	ἄγοιτο
ἄγω	PMS.1S	ἄγωμαι
ἄγω	PMS.3P	ἄγωνται
ἄγω	PMS.3S	ἄγηται
ἀδέω	AAO.3S	ἁδήσειεν
ἀδέω	XAP.NPM	ἀδηκότες
ἀείδω	AAD.2S	ἄεισον
ἀείδω	AAI.3S	ἄεισε
ἀείδω	AAN	ἀεῖσαι
ἀείδω	FMP.NSM	ἀεισόμενος
ἀείδω	IAI.3P	ἄειδον
ἀείδω	IAI.3S	ἄειδε
ἀείδω	IAI.3S	ἄειδεν
ἀείδω	IAI.3S	ἤειδε
ἀείδω	IAI.3S	ἤειδεν
ἀείδω	PAD.2S	ἄειδε
ἀείδω	PAI.1S	ἀείδω
ἀείδω	PAI.2S	ἀείδεις
ἀείδω	PAI.3S	ἀείδει
ἀείδω	PAN	ἀείδειν
ἀείδω	PAN	ἀειδέμεναι
ἀείδω	PAO.3P	ἀείδοιεν
ἀείδω	PAP.GSF	ἀειδούσης
ἀείδω	PAP.NPM	ἀείδοντες
ἀείδω	PAP.NSM	ἀείδων
ἀείδω	PAS.3S	ἀείδῃ
ἀείδω	PAS.3S	ἀείδῃσιν
ἀεικίζω	AAS.3P	ἀεικίσσωσι
ἀεικίζω	AMN	ἀεικίσσασθαι
ἀεικίζω	APN	ἀεικισθήμεναι
ἀεικίζω	FAI.1S	ἀεικιῶ
ἀεικίζω	IAI.3S	ἀείκιζεν
ἀεικίζω	PAI.3S	ἀεικίζει
ἀείρω	AAI.3P	ἄειραν
ἀείρω	AAI.3P	ἤειραν
ἀείρω	AAI.3S	ἄειρε
ἀείρω	AAN	ἀεῖραι
ἀείρω	AAO.3S	ἀείραι
ἀείρω	AAP.APF	ἀειράσας
ἀείρω	AAP.NPM	ἀείραντες
ἀείρω	AAP.NSM	ἀείρας
ἀείρω	AMP.NSF	ἀειραμένη
ἀείρω	AMP.NSM	ἀειράμενος
ἀείρω	API.3P	ἄερθεν
ἀείρω	API.3S	ἀέρθη
ἀείρω	APP.NSM	ἀερθείς
ἀείρω	FMO.1P	ἀροίμεθα
ἀείρω	IAI.3S	ἄειρε
ἀείρω	IAI.3S	ἄειρεν
ἀείρω	IAI.3S	ἤειρεν
ἀείρω	IMI.3D	ἀειρέσθην
ἀείρω	IMI.3P	ἀείροντο
ἀείρω	IMI.3S	ἀείρετο
ἀείρω	PAD.2S	ἄειρε
ἀείρω	PAP.NSM	ἀείρων
ἀείρω	PMP.GPM	ἀειρομένων
ἀείρω	PMP.NPM	ἀειρόμενοι
ἀείρω	PMP.NSF	ἀειρομένη
ἀείρω	PMP.NSM	ἀειρόμενος
ἀείρω	PMP.NSN	ἀειρόμενον
ἀελπτέω	PAP.NPM	ἀελπτέοντες
ἀέξω	IAI.3S	ἄεξε
ἀέξω	IMI.3S	ἀέξετο
ἀέξω	PAI.1S	ἀέξω
ἀέξω	PAI.3P	ἀέξουσιν
ἀέξω	PAI.3S	ἀέξει
ἀέξω	PAN	ἀέξειν
ἀέξω	PAP.NSM	ἀέξων
ἀέξω	PAS.3S	ἀέξῃ
ἀέξω	PMI.3S	ἀέξεται
ἄεσα	AAI.1P	ἄσαμεν
ἄεσα	AAN	ἀέσαι
ἅζομαι	IMI.2S	ἅζεο
ἅζομαι	IMI.3S	ἅζετο
ἅζομαι	PMD.2S	ἅζεο
ἅζομαι	PMD.2S	ἅζευ
ἅζομαι	PMI.1S	ἅζομαι
ἅζομαι	PMP.NPM	ἁζόμενοι
ἄζω	PMP.NSF	ἀζομένη
ἀηθέσσω	IAI.3P	ἀήθεσσον
ἄημι	IAI.3S	ἄη
ἄημι	IMI.3S	ἄητο
ἄημι	PAI.2D	ἄητον
ἄημι	PAN	ἀήμεναι
ἄημι	PAN	ἀῆναι
ἄημι	PAP.GPM	ἀέντων
ἄημι	PAP.NPM	ἀέντες
ἄημι	PMP.NSM	ἀήμενος
ἀθερίζω	IAI.3P	ἀθέριζον
ἀθερίζω	PAI.1S	ἀθερίζω
ἀθλεύω	PAN	ἀεθλεύειν
ἀθλεύω	PAO.1P	ἀεθλεύοιμεν
ἀθλεύω	PAP.NSM	ἀθλεύων
ἀθλεύω	PAS.3P	ἀεθλεύωσιν
ἀθλέω	AAP.ASM	ἀθλήσαντα
ἀθλέω	AAP.NDM	ἀθλήσαντε
ἀθρέω	AAN	ἀθρῆσαι
ἀθρέω	AAO.3S	ἀθρήσειε
ἀθύρω	PAP.NSM	ἀθύρων
αἰδέομαι	AMD.2S	αἴδεσσαι
αἰδέομαι	AMS.3S	αἰδέσεται
αἰδέομαι	API.3P	αἴδεσθεν
αἰδέομαι	APP.NSM	αἰδεσθείς
αἰδέομαι	FMI.1S	αἰδέσσομαι
αἰδέομαι	FMI.3S	αἰδέσεται
αἰδέομαι	FMI.3S	αἰδέσσεται
αἰδέομαι	IMI.3S	αἴδετο
αἰδέομαι	PMD.2P	αἰδεῖσθε
αἰδέομαι	PMD.2S	αἴδεο
αἰδέομαι	PMI.1S	αἰδέομαι
αἰδέομαι	PMI.3S	αἰδεῖται
αἰδέομαι	PMN	αἰδεῖσθαι
αἰδέομαι	PMO.2S	αἰδεῖο
αἰδέομαι	PMP.GPM	αἰδομένων
αἰδέομαι	PMP.NDM	αἰδομένω
αἰδέομαι	PMP.NSF	αἰδομένη
αἰδέομαι	PMP.NSM	αἰδόμενος
αἴθω	PMP.APF	αἰθομένας
αἴθω	PMP.ASM	αἰθόμενον
αἴθω	PMP.ASN	αἰθόμενον
αἴθω	PMP.DPM	αἰθομένοισιν
αἴθω	PMP.DPN	αἰθομένοις
αἴθω	PMP.GSN	αἰθομένοιο
αἴθω	PMP.GSN	αἰθομένου
αἰνέω	AAS.3P	αἰνήσωσι
αἰνέω	AAS.3P	αἰνήσωσιν
αἰνέω	FAI.3P	αἰνήσουσιν
αἰνέω	IAI.3P	ᾔνεον
αἰνέω	PAD.2S	αἴνεε
αἰνέω	PAI.3D	αἰνεῖτον
αἴνυμαι	IMI.3S	αἴνυτο
αἴνυμαι	IMI.3S	ᾔνυτο
αἴνυμαι	PMI.3S	αἴνυται
αἴνυμαι	PMP.APM	αἰνυμένους
αἴνυμαι	PMP.DSM	αἰνυμένῳ
αἴνυμαι	PMP.NPF	αἰνύμεναι
αἴνυμαι	PMP.NPM	αἰνύμενοι
αἴνυμαι	PMP.NSM	αἰνύμενος
αἰόλλω	PAS.3S	αἰόλλῃ
αἱρέω	AAD.2S	ἕλε
αἱρέω	AAD.3S	ἑλέτω
αἱρέω	AAI.1P	εἵλομεν
αἱρέω	AAI.1S	εἷλον
αἱρέω	AAI.1S	ἕλεσκον
αἱρέω	AAI.1S	ἕλον
αἱρέω	AAI.2S	εἷλες
αἱρέω	AAI.2S	ἕλες
αἱρέω	AAI.3D	ἑλέτην
αἱρέω	AAI.3P	εἷλον
αἱρέω	AAI.3P	ἕλον
αἱρέω	AAI.3S	εἷλε
αἱρέω	AAI.3S	εἷλεν
αἱρέω	AAI.3S	ἕλε
αἱρέω	AAI.3S	ἕλεν
αἱρέω	AAI.3S	ἕλεσκε
αἱρέω	AAN	ἑλέειν
αἱρέω	AAN	ἑλεῖν
αἱρέω	AAO.1P	ἕλοιμεν
αἱρέω	AAO.1S	ἕλοιμι
αἱρέω	AAO.2S	ἕλοις
αἱρέω	AAO.3P	ἕλοιεν
αἱρέω	AAO.3S	ἕλοι
αἱρέω	AAP.ADM	ἑλόντε
αἱρέω	AAP.NPF	ἑλοῦσαι
αἱρέω	AAP.NPM	ἑλόντες
αἱρέω	AAP.NSF	ἑλοῦσα
αἱρέω	AAP.NSM	ἑλών
αἱρέω	AAS.1P	ἕλωμεν
αἱρέω	AAS.1S	ἕλω
αἱρέω	AAS.2P	ἕλητε
αἱρέω	AAS.2S	ἕλῃς
αἱρέω	AAS.3P	ἕλωσι
αἱρέω	AAS.3S	ἕλῃ
αἱρέω	AAS.3S	ἕλῃσι
αἱρέω	AAS.3S	ἕλῃσιν
αἱρέω	AMD.2P	ἕλεσθε
αἱρέω	AMD.2S	ἕλευ
αἱρέω	AMD.3S	ἑλέσθω
αἱρέω	AMI.1P	ἑλόμεσθα
αἱρέω	AMI.1S	ἑλόμην
αἱρέω	AMI.2S	εἵλευ
αἱρέω	AMI.3P	εἵλοντο
αἱρέω	AMI.3P	ἕλοντο
αἱρέω	AMI.3S	εἵλετο
αἱρέω	AMI.3S	ἕλετο
